# Roptimum ngal
2.343718877190291394e+01 3.976979999999999995e-05
2.047427025947131440e+01 5.965469999999999654e-05
2.022979359823467504e+01 7.953959999999999991e-05
1.877967681437147007e+01 9.942449999999999650e-05
1.767235249306525091e+01 1.193093999999999931e-04
1.678721949233770516e+01 1.391942999999999761e-04
1.605639781946863565e+01 1.590791999999999998e-04
1.774508264813291092e+01 1.789640999999999964e-04
1.713268892572188307e+01 1.988489999999999930e-04
1.659693785552343570e+01 2.187339000000000167e-04
1.612247755071529554e+01 2.386187999999999862e-04
1.569800315874209673e+01 2.585037000000000099e-04
1.531497119641260873e+01 2.783885999999999522e-04
1.496678235391456546e+01 2.982735000000000030e-04
1.464824298243932077e+01 3.181583999999999996e-04
1.435519916962934239e+01 3.380432999999999962e-04
1.507018113165622175e+01 3.579281999999999928e-04
1.480101300674651021e+01 3.778130999999999894e-04
