# Roptimum ngal
2.392258770876616936e+01 3.976979999999999995e-05
2.112585888933616829e+01 5.965469999999999654e-05
1.994865673605575296e+01 7.953959999999999991e-05
1.873210491619457230e+01 9.942449999999999650e-05
1.825523382675286044e+01 1.193093999999999931e-04
1.749332794828324111e+01 1.391942999999999761e-04
1.711804892648143550e+01 1.590791999999999998e-04
1.662630575167245794e+01 1.789640999999999964e-04
1.615285700767335086e+01 2.187339000000000167e-04
1.639097335630538765e+01 1.988489999999999930e-04
1.548754940371237865e+01 2.386187999999999862e-04
1.549216831134039118e+01 2.585037000000000099e-04
1.523999896228527540e+01 2.783885999999999522e-04
1.518836762611269364e+01 2.982735000000000030e-04
1.490133809515231000e+01 3.181583999999999996e-04
1.475870483415932100e+01 3.380432999999999962e-04
1.484490922835115434e+01 3.579281999999999928e-04
1.455751283925784989e+01 3.778130999999999894e-04
