# exp = --0.24332385380943317
# const = 2.0818548390662017
# Roptimum ngal
2.493522274523644100e+01 3.976979999999999995e-05
2.218504219239583719e+01 5.965469999999999654e-05
2.097067656938921587e+01 7.953959999999999991e-05
1.927860485894739995e+01 9.942449999999999650e-05
1.893154615785024575e+01 1.193093999999999931e-04
1.792079125002006634e+01 1.391942999999999761e-04
1.715907060223330305e+01 1.590791999999999998e-04
1.694710608981937128e+01 1.789640999999999964e-04
1.645155368664012840e+01 1.988489999999999930e-04
1.580382373252188621e+01 2.187339000000000167e-04
1.542897862884026416e+01 2.386187999999999862e-04
1.555935238333609050e+01 2.585037000000000099e-04
1.535010796537076949e+01 2.982735000000000030e-04
1.495587664827796814e+01 2.783885999999999522e-04
1.529125004775779217e+01 3.181583999999999996e-04
1.491283694195144882e+01 3.380432999999999962e-04
1.435079320871666830e+01 3.579281999999999928e-04
1.418298928690920846e+01 3.778130999999999894e-04
