# Roptimum ngal
2.929648596487864154e+01 3.976979999999999995e-05
2.559283782433914212e+01 5.965469999999999654e-05
2.325263631980996948e+01 7.953959999999999991e-05
2.158583541881777990e+01 9.942449999999999650e-05
2.031304884260373811e+01 1.193093999999999931e-04
1.929565458889391749e+01 1.391942999999999761e-04
1.845562967755015649e+01 1.590791999999999998e-04
1.898723843350221685e+01 1.789640999999999964e-04
1.833197715052241605e+01 1.988489999999999930e-04
1.775872350541007805e+01 2.187339000000000167e-04
1.725105097926536502e+01 2.386187999999999862e-04
1.773874356937856689e+01 2.585037000000000099e-04
1.730591745194624664e+01 2.783885999999999522e-04
1.781047100115833004e+01 2.982735000000000030e-04
1.743140914910279093e+01 3.181583999999999996e-04
1.708268701185891558e+01 3.380432999999999962e-04
1.760535178931801426e+01 3.579281999999999928e-04
1.480101300674651021e+01 3.778130999999999894e-04
