# exp = --0.23827170487645377
# const = 2.3716152798285393
# Roptimum ngal
1.745307994653209249e+01 2.187339000000000167e-04
1.761893788707036279e+01 1.988489999999999930e-04
1.731705480796368235e+01 2.386187999999999862e-04
1.670090495011879028e+01 2.585037000000000099e-04
1.662224874709491829e+01 2.783885999999999522e-04
1.634048021462906419e+01 2.982735000000000030e-04
1.670566794674770605e+01 3.181583999999999996e-04
1.617219221797702033e+01 3.380432999999999962e-04
1.600440315056428275e+01 3.579281999999999928e-04
1.614985401355911421e+01 3.778130999999999894e-04
2.761916650550422503e+01 3.976979999999999995e-05
2.437305798795565437e+01 5.965469999999999654e-05
2.280586873569737349e+01 7.953959999999999991e-05
2.132186236235781962e+01 9.942449999999999650e-05
1.950644755770069594e+01 1.193093999999999931e-04
1.912551627839749813e+01 1.391942999999999761e-04
1.853064126653527310e+01 1.590791999999999998e-04
1.829302179872198764e+01 1.789640999999999964e-04
